customer_id,recency_days,frequency,monetary,avg_order_value,tenure_days,churned,segment,rfm_score,churn_probability,health_score
14900,521.0,1,13.92,13.92,0.0,1,Lost,3,0.7671006518077357,11.6
15040,541.0,1,7.49,7.49,0.0,1,Lost,3,0.7672721857162323,11.6
13163,609.0,1,17.65,17.65,0.0,1,Lost,3,0.7670011057917773,11.6
14580,517.0,1,14.85,14.85,0.0,1,Lost,3,0.767075834795528,11.6
15913,533.0,1,6.3,6.3,0.0,1,Lost,3,0.767303921840219,11.6
14827,664.0,1,0.0,0.0,0.0,1,Lost,3,0.7674718863732402,11.6
14103,664.0,1,0.0,0.0,0.0,1,Lost,3,0.7674718863732402,11.6
14095,722.0,1,2.95,2.95,0.0,1,Lost,3,0.7673932468365562,11.6
13788,504.0,1,3.75,3.75,0.0,1,Lost,3,0.7673719176661912,11.6
12846,681.0,1,15.58,15.58,0.0,1,Lost,3,0.7670563534852259,11.6
13915,393.0,1,70.8,70.8,0.0,1,Lost,3,0.7655794248786222,11.7
13105,435.0,1,72.0,72.0,0.0,1,Lost,3,0.7655472573492291,11.7
16238,422.0,1,63.66,63.66,0.0,1,Lost,3,0.7657707583611485,11.7
13913,506.0,1,42.22,42.22,0.0,1,Lost,3,0.7663446430719005,11.7
13303,399.0,1,61.72,61.72,0.0,1,Lost,3,0.7658227265980498,11.7
14906,444.0,1,68.44,68.44,0.0,1,Lost,3,0.7656426787532576,11.7
15284,499.0,1,24.75,24.75,0.0,1,Lost,3,0.7668115395718644,11.7
17606,736.0,1,87.3,87.3,0.0,1,Lost,3,0.7651368529635144,11.7
13112,540.0,1,20.6,20.6,0.0,1,Lost,3,0.7669223553929393,11.7
13906,408.0,1,42.0,42.0,0.0,1,Lost,3,0.7663505267452938,11.7
16970,625.0,1,71.4,71.4,0.0,1,Lost,3,0.7655633414966948,11.7
16417,492.0,1,35.7,35.7,0.0,1,Lost,3,0.7665189700530362,11.7
16420,395.0,1,75.0,75.0,0.0,1,Lost,3,0.7654668251291751,11.7
14559,389.0,1,75.6,75.6,0.0,1,Lost,3,0.7654507363886889,11.7
17192,535.0,1,77.83,77.83,0.0,1,Lost,3,0.7653909331938556,11.7
14717,732.0,1,81.3,81.3,0.0,1,Lost,3,0.7652978551777361,11.7
16459,729.0,1,71.79,71.79,0.0,1,Lost,3,0.7655528868879214,11.7
17129,519.0,1,31.85,31.85,0.0,1,Lost,3,0.7666218660502603,11.7
15871,436.0,1,33.1,33.1,0.0,1,Lost,3,0.7665884617172715,11.7
